FID	IID	score.auto	score.grid.1	score.grid.2	score.grid.3	score.grid.7	score.grid.8	score.grid.9	score.grid.10	score.grid.11	score.grid.12	score.grid.13	score.grid.14	score.grid.15	score.grid.16	score.grid.17	score.grid.23	score.grid.24	score.grid.25	score.grid.26	score.grid.27	score.grid.28	score.grid.29	score.grid.30	score.grid.31	score.grid.39	score.grid.40	score.grid.41	score.grid.42	score.grid.43	score.grid.44	score.grid.45	score.grid.47	score.grid.53	score.grid.54	score.grid.55	score.grid.56	score.grid.57	score.grid.58	score.grid.59	score.grid.60	score.grid.61	score.grid.62	score.grid.68	score.grid.69	score.grid.70	score.grid.71	score.grid.72	score.grid.73	score.grid.74	score.grid.75	score.grid.76	score.grid.78	score.grid.84	score.grid.85	score.grid.86	score.grid.87	score.grid.88	score.grid.89	score.grid.90	score.auto.shaPRS	score.grid.1.shaPRS	score.grid.2.shaPRS	score.grid.9.shaPRS	score.grid.10.shaPRS	score.grid.11.shaPRS	score.grid.12.shaPRS	score.grid.13.shaPRS	score.grid.14.shaPRS	score.grid.15.shaPRS	score.grid.17.shaPRS	score.grid.24.shaPRS	score.grid.25.shaPRS	score.grid.26.shaPRS	score.grid.27.shaPRS	score.grid.28.shaPRS	score.grid.29.shaPRS	score.grid.30.shaPRS	score.grid.31.shaPRS	score.grid.32.shaPRS	score.grid.33.shaPRS	score.grid.40.shaPRS	score.grid.41.shaPRS	score.grid.42.shaPRS	score.grid.43.shaPRS	score.grid.44.shaPRS	score.grid.45.shaPRS	score.grid.46.shaPRS	score.grid.47.shaPRS	score.grid.54.shaPRS	score.grid.55.shaPRS	score.grid.56.shaPRS	score.grid.57.shaPRS	score.grid.58.shaPRS	score.grid.59.shaPRS	score.grid.60.shaPRS	score.grid.61.shaPRS	score.grid.62.shaPRS	score.grid.69.shaPRS	score.grid.70.shaPRS	score.grid.71.shaPRS	score.grid.72.shaPRS	score.grid.73.shaPRS	score.grid.74.shaPRS	score.grid.75.shaPRS	score.grid.76.shaPRS	score.grid.77.shaPRS	score.grid.78.shaPRS	score.grid.85.shaPRS	score.grid.86.shaPRS	score.grid.87.shaPRS	score.grid.88.shaPRS	score.grid.89.shaPRS	score.grid.90.shaPRS	prscs.phi1e+00	prscs.shaPRS.phi1e+00	prscsx.META.phi1e+00	prscsx.EAS.phi1e+00	prscsx.EUR.phi1e+00	prscs.phi1e-02	prscs.shaPRS.phi1e-02	prscsx.META.phi1e-02	prscsx.EAS.phi1e-02	prscsx.EUR.phi1e-02	prscs.phi1e-04	prscs.shaPRS.phi1e-04	prscsx.META.phi1e-04	prscsx.EAS.phi1e-04	prscsx.EUR.phi1e-04	prscs.phi1e-06	prscs.shaPRS.phi1e-06	prscsx.META.phi1e-06	prscsx.EAS.phi1e-06	prscsx.EUR.phi1e-06	prscs.phiauto	prscs.shaPRS.phiauto	prscsx.META.phiauto	prscsx.EAS.phiauto	prscsx.EUR.phiauto	SBayesRC	PRSice2.0.1	PRSice2.0.4	PRSice2.0.7	PRSice2.0.9	PGS000055	PGS000074	PGS000146	PGS000147	PGS000148	PGS000149	PGS000150	PGS000151	PGS000154	PGS000367	PGS000368	PGS000369	PGS000370	PGS000371	PGS000372	PGS000373	PGS000374	PGS000375	PGS000720	PGS000734	PGS000765	PGS000785	PGS000801	PGS000802	PGS001776	PGS001802	PGS002013	PGS002252	PGS002265	PGS002742	PGS002743	PGS002744	PGS002758	PGS003386	PGS003395	PGS003431	PGS003432	PGS003433	PGS003434	PGS003435	PGS003436	PGS003439	PGS003739	PGS003760	PGS003850	PGS003851	PGS003852	PGS003979	PGS004240	PGS004243	PGS004300	PGS004302	PGS004303	PGS004445	PGS004515	PGS004580	PGS004586	PGS004689	PGS004880	PGS004904	PGS004912	PHENO
628467350300	628467350300	0.718285	0.769625	0.75338	0.732881	0.239862	0.0928897	0.000773089	-0.0349779	-0.0450636	-0.0673781	0.785427	0.73175	0.744446	0.526587	0.342145	0.658933	0.646297	0.406875	0.192558	0.0483615	-0.0396736	-0.096066	-0.115443	0.685836	0.0367949	0.782015	0.653484	0.751578	0.59017	0.432219	0.252082	0.0721887	0.53742	0.331339	0.178147	0.118594	0.0902263	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.0509596	0.638534	0.525978	0.679292	0.054317	0.977107	0.745595	0.512877	0.363986	0.240362	0.141891	0.110365	0.231464	0.168006	0.144719	0.691937	0.632492	0.557362	0.383444	0.276207	0.177048	0.115757	0.360917	0.257256	0.173296	0.132429	0.114779	0.535976	0.839879	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	0.87931	-1.47777	0.107773	0.325779	-1.58923	1.08281	-0.288598	0.247698	0.276174	-0.348362	0.480245	-0.0197424	0.10334	0.106525	0.103396	0.133942	0.0817952	0.0504863	0.0619661	0.113024	0.0430397	0.0398415	0.115168	0.0951288	0.0867834	0.105518	0.1158742875264	2.78980533	0.859359526	-3.69301521	8.61350609	0.0550996	6.45845	2.47468	16.0	2.236	3.82599	30.0	9.0	19.2913	3.9328	3.9328	4.0228	4.3562	1.84107	2.36981	0.0469235	0.1237	0.017805	4.982	3.7178	3.7178	489.13	1.716	2.977	5.25526	-0.0518144	-0.00266282	6.4555	4.7448	5.382	6.061	5.694	-0.493914	0.701222	0.332695	0.762584	0.334876	0.465319	0.420974	6.57805	4.72571	4.7448	4.237	2.2279	1.16684	0.406392	0.48739	0.321189	4.3483	3.77136	0.425338	0.163682	0.114546	-0.150028	-0.0146281	0.471093	-11.7833	-0.287717	0.579506	7.109	-0.279624	1
663226643900	663226643900	0.563778	0.680437	0.749071	0.696649	0.187254	0.0902564	0.0346281	0.00323597	-0.00140039	-0.0139369	0.68966	0.684637	0.602574	0.402979	0.257534	0.597328	0.540985	0.361956	0.190425	0.0783328	0.00790878	-0.0274714	-0.036692	0.777398	0.00654432	0.682433	0.747714	0.591913	0.412895	0.272437	0.158289	0.0291059	0.366508	0.203531	0.104849	0.0526673	0.0356765	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	-0.00222103	0.808646	0.535774	0.495193	0.200033	1.0323	0.865321	0.662043	0.502052	0.390561	0.308367	0.278746	0.427826	0.363401	0.340526	0.623662	0.716037	0.624362	0.470581	0.333482	0.239344	0.192027	0.448315	0.347076	0.265279	0.232527	0.2295	0.598466	0.845735	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	0.860857	-1.02801	-0.0883095	0.590941	-1.14199	1.0522	-0.137478	0.205529	0.379112	-0.205099	0.503199	0.10115	0.102232	0.16841	0.132938	0.178168	0.0880204	0.0789464	0.0927784	0.105526	0.0822066	0.050644	0.136887	0.133775	0.082066	0.155323	0.2010561529384	-4.31601469	-6.12449922	-13.0269365	-0.442485289	-0.5059	6.45957	2.34438	14.0	2.659	3.2112	27.0	11.0	20.5192	3.9011	3.9011	4.0065	4.2426	1.2532	1.74398	0.0866055	0.1147	0.00400784	4.668	3.5914	3.5914	488.02	1.791	2.233	3.8072	-0.0449817	-0.000267927	6.9361	4.8744	5.312	6.408	5.622	-0.615653	0.901086	0.376322	0.638236	0.324776	0.383523	0.460145	1.74437	4.38973	4.8744	3.856	4.50055	0.358845	0.204808	0.558546	0.278947	3.84465	3.56614	0.50948	0.12483	0.185313	-0.243885	-0.0247954	0.307831	-12.9563	-0.476355	0.511888	7.027	-0.468624	1
929512764900	929512764900	0.292375	0.381076	0.333317	0.207903	0.088154	0.0435326	0.00967508	-0.00680293	-0.0126679	-0.0140067	0.38405	0.329234	0.339336	0.198401	0.129899	0.338655	0.295027	0.143516	0.108831	0.0213806	-0.0268875	-0.0557089	-0.0553544	0.303767	0.012522	0.405117	0.198506	0.306769	0.206453	0.150215	0.0876233	0.0165323	0.204689	0.106291	0.0541596	0.0308042	0.0272325	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	-0.00216462	0.741157	0.561665	0.702368	0.145143	0.887841	0.812863	0.556764	0.376057	0.280161	0.234528	0.219596	0.316963	0.273811	0.275412	0.737956	0.65691	0.594147	0.396048	0.27127	0.210608	0.184439	0.386632	0.288353	0.245341	0.227221	0.221124	0.729551	0.854494	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	1.03418	-1.52676	-0.333577	-0.0159559	-1.39442	1.05637	-0.457331	0.0386366	0.229833	-0.39096	0.697689	-0.0863955	0.102536	0.125831	0.0409525	0.202374	0.0467812	0.0711919	0.0503992	0.0443441	0.0644486	-0.0698839	0.0970315	0.110414	0.0732968	0.127716	-0.05649002983088	-0.742978579	-3.5317685	-8.72683106	0.686014399	-0.0716877	7.19845	2.36832	22.0	2.426	4.11832	30.0	9.0	21.4807	4.7639	4.7639	4.9143	5.3434	1.41355	1.68072	0.145448	0.2427	-0.0068506	5.423	4.6103	4.6103	542.94	1.993	1.437	4.474	-0.0725139	0.00249834	7.1458	5.5544	5.758	6.854	6.298	-0.704987	1.09189	0.210552	0.0891088	-0.30274	-0.262101	0.591228	1.05998	4.62687	5.5544	5.126	2.64948	0.775845	0.234186	0.381171	0.0908945	4.95911	4.43883	0.235703	0.0777074	-0.0510338	-0.132212	-0.0119823	0.0364954	-12.9583	-0.68421	0.4401	7.66	0.0739765	1
911004922800	911004922800	0.446271	0.307095	0.384409	0.42554	0.136555	0.0863727	0.0457387	0.0368845	0.0325424	0.0248048	0.301052	0.321236	0.50003	0.347657	0.23466	0.341031	0.470235	0.291617	0.195838	0.119475	0.0689864	0.0333585	0.0383998	0.435469	0.0632048	0.303331	0.401675	0.494218	0.365051	0.246567	0.158594	0.0967039	0.354135	0.228158	0.172062	0.145133	0.134883	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.0966427	0.42613	0.168975	0.095777	0.13099	0.486544	0.388847	0.364084	0.295741	0.232255	0.184611	0.18892	0.274695	0.234678	0.221138	0.21545	0.215324	0.301712	0.272755	0.222943	0.177887	0.157138	0.285134	0.255584	0.213942	0.205521	0.195001	0.230927	0.386246	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	0.414602	-0.413462	0.213227	0.299797	-0.371829	0.297848	0.0944247	0.247367	0.149839	0.042129	0.154922	0.0912757	0.092155	0.0680186	0.145235	0.0437805	0.0344489	0.0399129	0.0238265	0.0364649	0.0235163	0.010832	0.0689746	0.0428568	0.0800233	0.0420395	-0.029146462051	0.735833639	-0.0842731571	-6.85629913	8.37662667	-0.541962	6.48637	2.30011	17.0	2.219	3.54733	28.0	9.0	20.3844	3.9693	3.9693	4.128	4.407	1.44278	1.71486	0.0254586	-0.446	-0.050722	4.857	3.7541	3.7541	489.18	1.813	2.943	4.0212	-0.227597	-0.00411318	6.6326	4.8107	4.854	5.865	5.305	-0.603796	0.543568	0.176328	0.492622	0.544436	0.720626	0.653872	9.40657	4.23744	4.8107	4.164	2.02039	0.247845	0.241219	0.565868	0.125984	4.15267	3.63835	0.244334	-0.155635	0.055878	0.143552	0.0141463	0.220609	-10.8043	-0.506267	0.412034	6.966	-1.07852	1
900501422400	900501422400	0.993306	0.562479	0.592395	0.639014	0.338835	0.174411	0.0667967	0.0119027	0.0062479	-0.0146114	0.55187	0.583028	1.02858	0.740072	0.483843	0.552629	1.00381	0.640329	0.374463	0.182799	0.0851883	-0.0036218	-0.00727863	0.569757	0.0822608	0.56111	0.59104	1.0597	0.766641	0.571484	0.35292	0.155669	0.742939	0.462862	0.296855	0.223031	0.177615	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.137154	0.370797	0.326693	0.256592	-0.105174	0.613465	0.490656	0.319919	0.170444	0.0399125	-0.058865	-0.129394	-0.0559014	-0.11509	-0.173128	0.371523	0.33033	0.376155	0.281704	0.182966	0.0626729	-0.00181407	0.229237	0.11006	0.01471	-0.0339466	-0.052499	0.40679	0.590996	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	0.5417	-0.841739	-0.176033	-0.216596	-0.863225	-0.369904	-0.232018	-0.0385068	-0.0342909	-0.194994	-0.130809	-0.00486175	0.0517671	0.02456	0.130895	0.00425571	0.0836497	0.0426099	0.0351022	0.0824084	0.0204488	0.033652	0.0189573	0.039596	0.0729522	0.0185168	0.155984617824	4.63840688	4.15898695	1.50514954	13.5024982	-0.50872	5.86527	2.08585	15.0	2.19	3.0013	24.0	9.0	17.524	4.2005	4.2005	4.3502	4.5845	1.56475	1.79116	-0.0819344	-0.2951	0.00997473	4.685	3.8913	3.8913	501.9	1.839	2.308	3.67091	0.037921	-0.00153915	6.9854	5.0878	5.319	6.5	5.877	-0.864444	1.05494	0.331246	0.274311	-0.0657799	0.0513157	0.294625	2.33548	4.49747	5.0878	4.343	4.01332	0.567845	0.290064	0.325699	0.0829281	4.36982	3.76496	0.229787	-0.0795632	-0.0513303	-0.362194	-0.0279825	0.0208179	-9.7083	-0.765143	0.238561	6.715	-0.754824	1
793580741600	793580741600	0.591182	0.213421	0.245133	0.357997	0.250085	0.180578	0.122629	0.0981281	0.08362	0.0764219	0.172285	0.219813	0.622119	0.483577	0.339964	0.165793	0.63855	0.461855	0.321162	0.236724	0.172739	0.13323	0.12764	0.103783	0.107909	0.213558	0.247871	0.648115	0.533483	0.39212	0.291656	0.181237	0.52116	0.36202	0.28801	0.24664	0.230427	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.209251	0.594535	0.0627067	0.261159	0.128851	0.399619	0.549493	0.468597	0.357099	0.278676	0.215555	0.187773	0.319057	0.255698	0.239537	0.0837273	0.169293	0.419566	0.331403	0.267452	0.198079	0.16436	0.346329	0.280846	0.219949	0.199287	0.179156	0.163626	0.398083	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	0.541989	-0.321554	0.159054	-0.360808	-0.406774	-0.216779	0.13632	0.161356	0.0643318	0.0276478	0.148381	0.0272287	0.0903605	0.0544512	0.118763	0.0648697	0.0724479	0.0233335	0.0231142	-0.0107218	0.0292804	0.0454542	0.0860003	0.0520142	0.0823883	0.0699007	0.2863514079272	4.10331871	4.92047371	1.48734267	13.1873034	-0.42278	6.41855	2.20546	16.0	2.261	3.43125	23.0	12.0	16.3709	4.4292	4.4292	4.5796	4.9067	1.41403	1.99098	-0.0343427	-0.9563	-0.0635661	4.842	4.2296	4.2296	511.21	1.915	2.185	3.50621	-0.00962967	0.00117842	6.9957	5.221	5.422	6.515	5.913	-0.585666	0.94101	0.344452	0.72338	-0.286975	-0.105999	0.373865	3.43916	4.17956	5.221	4.643	1.67016	1.06384	-0.0136339	0.564589	0.262404	4.68274	3.92327	0.186463	-0.163061	0.0490011	-0.274917	-0.0224232	0.285306	-9.9693	-0.653564	0.379907	7.205	-0.271624	1
738391853400	738391853400	0.354559	-0.07655	-0.0988712	-0.12608	0.107148	0.067574	0.0337871	0.0244168	0.0222287	0.00957847	-0.0823795	-0.0972237	0.40979	0.26643	0.152187	-0.00115124	0.469453	0.24177	0.15317	0.0799875	0.0541554	0.00724881	-0.00317926	-0.063998	0.0887384	-0.0826765	-0.205211	0.446299	0.30648	0.252231	0.177755	0.119667	0.350436	0.260442	0.192678	0.178051	0.170046	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.148425	0.479777	0.173278	0.123195	0.125754	0.463281	0.446406	0.382737	0.302004	0.246346	0.180269	0.185848	0.26298	0.240734	0.238076	0.161526	0.313651	0.317626	0.27283	0.21548	0.165549	0.148341	0.284743	0.237267	0.205308	0.187903	0.181232	0.314019	0.416788	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	0.406861	-0.780078	0.0445775	0.451532	-0.86104	1.03445	-0.254091	0.187342	0.249213	-0.289545	0.40339	-0.0339622	0.108457	0.0933052	0.0707844	0.136362	0.00977704	0.0401732	0.021822	0.0216945	0.0359323	-0.0136323	0.0687007	0.0428057	0.0150875	0.0748119	-0.2881377045936	-1.92135033	-2.97054423	-7.26657066	-1.19483881	-0.263441	7.08877	1.92658	16.0	2.411	3.36553	23.0	12.0	21.5678	4.4539	4.4539	4.6614	4.8905	1.48459	1.93919	0.0822174	-0.2163	-0.0550334	4.843	4.3835	4.3835	517.59	1.874	2.0890000000000004	3.52002	-0.0718982	0.00117814	6.813	5.2408	5.377	7.224	6.086	-0.575123	0.615073	0.266605	0.344701	0.00257447	0.109935	1.25182	9.61102	4.85649	5.2408	4.756	2.60815	0.796845	0.208507	0.232586	0.117028	4.67137	4.2204	0.341965	-0.0493994	0.216446	-0.123291	-0.011087	0.30128	-7.7753	-0.653432	0.547655	7.62	-0.285724	1
273850536200	273850536200	0.140791	0.181782	0.18925	0.101183	-0.0483651	-0.122631	-0.187157	-0.213703	-0.218622	-0.233059	0.188438	0.163406	0.165239	0.0200169	-0.0906116	0.161421	0.0309199	-0.114021	-0.2252	-0.305063	-0.379359	-0.400729	-0.42739	0.152648	-0.129749	0.190197	0.202332	0.202868	0.10243	0.0143482	-0.0621532	-0.155463	0.00600073	-0.0986086	-0.155106	-0.197741	-0.213017	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	-0.249197	0.185997	-0.099894	-0.185488	0.0208614	0.0575736	0.117019	0.118303	0.121656	0.0991374	0.0559252	0.0558038	0.116451	0.0819509	0.0792835	-0.144333	-0.155533	0.090073	0.118866	0.135072	0.103821	0.087414	0.168799	0.149478	0.12689	0.10869	0.103087	-0.0889838	0.0404531	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	0.0621712	-1.86193	-0.31463	0.0533557	-1.90618	1.18501	-0.683124	0.0038876	0.188024	-0.671643	0.647602	-0.178287	0.0291399	0.0557104	-0.0750477	0.149121	0.0365986	0.0186595	-0.00207514	-0.0240235	0.00685772	-0.124545	-0.00193416	0.0464177	-0.0644778	0.0957829	-0.4015412496748	5.28054838	4.37602435	2.27861888	10.2808945	-0.0876121	6.73725	1.87416	15.0	2.285	3.21121	24.0	3.0	20.4681	3.9481	3.9481	4.0895	4.3358	1.35724	1.51319	0.0859863	-0.5591	-0.060392	4.883	3.7319	3.7319	486.99	1.735	1.938	3.38427	-0.220701	-0.00328557	6.4638	4.8219	5.53	5.813	5.608	-1.1621	0.564109	0.118538	-0.0641858	-0.680162	-0.523501	0.464845	3.35005	3.83211	4.8219	4.183	3.96585	0.371845	0.0519683	-0.0926513	-0.153166	4.23574	3.69335	0.151532	-0.00708168	-0.309955	-0.245735	-0.0215827	-0.321092	-13.2363	-0.752304	0.138182	6.587	-0.363224	1
155523926500	155523926500	0.457628	0.195724	0.191943	0.179969	0.0729105	-0.034681	-0.101956	-0.127469	-0.148179	-0.15072	0.186783	0.157466	0.489766	0.318778	0.0923384	0.155724	0.401008	0.159815	-0.0479729	-0.149579	-0.186319	-0.256251	-0.275931	0.0478887	-0.0612263	0.191027	0.182688	0.558197	0.364595	0.216757	0.0779464	-0.0440338	0.272432	0.117587	0.00426817	-0.0657351	-0.0691725	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	-0.107941	0.344368	0.299948	0.146103	-0.0345504	0.481552	0.407856	0.291321	0.165119	0.0808588	-0.00124533	-0.0210669	0.04542	-0.0253023	-0.0148908	0.327461	0.0949964	0.321949	0.253861	0.135619	0.0599293	0.0118332	0.197781	0.0977027	0.0402051	0.00994781	-0.00852285	0.28017	0.507999	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	0.276046	-1.0827	-0.300746	-0.0649485	-1.04327	0.7084	-0.164737	0.0621338	0.0461671	-0.325702	0.420397	-0.0806821	0.0624131	0.0298127	0.00902594	0.119308	0.0272169	0.0515926	0.0289645	0.0728597	0.0382158	-0.0748336	0.0506216	0.0484119	0.0853602	0.0862692	0.06649575615352	-2.74922936	-3.97265583	-8.98203474	3.42571812	-0.188367	5.48303	2.1474	17.0	2.284	3.0638	25.0	8.0	19.4672	3.6446	3.6446	3.8457	4.1287	1.3908	1.634	0.0914605	-0.031	-0.0116444	4.669	3.6844	3.6844	456.31	1.758	2.321	3.87107	0.0710919	0.00595058	6.6739	4.7594	5.468	6.332	5.735	-0.758042	0.668112	0.270097	0.0807195	-0.00706602	0.0830659	0.75625	3.45952	4.51262	4.7594	3.9	2.03516	0.596845	0.149691	0.281718	0.207042	3.93088	3.44926	0.249395	0.0718275	0.0949917	-0.171123	-0.0149188	0.117447	-14.2473	-0.54626	0.672932	6.981	-0.672724	1
101509675700	101509675700	0.327801	0.757189	0.763944	0.68496	-0.0451735	-0.162669	-0.245721	-0.280639	-0.297557	-0.307395	0.75908	0.798821	0.329515	0.147737	-0.0523639	0.752858	0.137176	-0.0889961	-0.304486	-0.423847	-0.509598	-0.558913	-0.556087	0.778307	-0.189969	0.762579	0.75252	0.344331	0.230966	0.0585364	-0.0843849	-0.234079	0.064985	-0.111543	-0.231447	-0.288878	-0.324645	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	-0.345372	0.174505	0.473778	0.365679	-0.166412	0.699248	0.301525	0.146417	0.0233529	-0.0988464	-0.191429	-0.202332	-0.188326	-0.260499	-0.296732	0.455783	0.521467	0.228262	0.131404	0.0478145	-0.0312145	-0.0782759	0.0708101	-0.0185374	-0.0864288	-0.125621	-0.135386	0.576381	0.648985	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	0.757573	-2.52373	-1.01838	-1.00844	-2.36565	-0.390074	-0.865601	-0.28773	-0.255682	-0.981062	-0.017533	-0.181729	-0.0309812	-0.0422401	-0.115082	0.0134289	0.0101823	0.0474369	0.00853867	0.0243634	0.0228374	-0.176199	-0.0384413	0.00629756	-0.0401075	0.0333737	-0.06999513925956	-0.467402097	-2.59671791	-8.5920478	-1.80825055	0.0352688	6.04141	2.65006	21.0	2.611	3.87467	29.0	5.0	20.3161	4.3328	4.3328	4.3925	4.5833	1.53335	1.78458	-0.0176649	0.0729	-0.0191687	5.021	3.7217	3.7217	475.6	1.89	2.757	4.42142	-0.0254527	-0.00186671	6.8642	4.9857	5.533	6.676	5.893	-1.06661	0.756826	0.236569	-0.261151	-0.624733	-0.643493	0.463925	-0.65683	4.59509	4.9857	4.204	3.00544	0.887845	-0.106445	-0.426766	-0.23569	4.32012	3.83015	0.380554	-0.0399627	0.123862	-0.285013	-0.0219721	-0.223866	-11.3903	-0.551141	0.124712	7.091	-0.210824	1
